||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Ölçüm bazında|
|||
|||
2024|Bursa(Nilüfer/Nilüfer Bel./19 Mayıs Mah.)-140338|4371.0|
|Bursa(Nilüfer/Nilüfer Bel./23 Nisan Mah.)-140334|21042.0|
|Bursa(Nilüfer/Nilüfer Bel./29 Ekim Mah.)-140336|14587.0|
|Bursa(Nilüfer/Nilüfer Bel./30 Ağustos Zafer Mah.)-11152|15605.0|
|Bursa(Nilüfer/Nilüfer Bel./Ahmet Yesevi Mah.)-11123|9021.0|
|Bursa(Nilüfer/Nilüfer Bel./Akçalar Mah.)-11136|10581.0|
|Bursa(Nilüfer/Nilüfer Bel./Alaaddinbey Mah.)-11114|965.0|
|Bursa(Nilüfer/Nilüfer Bel./Altınşehir Mah.)-11134|18830.0|
|Bursa(Nilüfer/Nilüfer Bel./Ataevler Mah.)-11132|17793.0|
|Bursa(Nilüfer/Nilüfer Bel./Atlas Mah.)-183429|372.0|
|Bursa(Nilüfer/Nilüfer Bel./Ayvaköy Mah.)-183431|178.0|
|Bursa(Nilüfer/Nilüfer Bel./Badırga Mah.)-183433|344.0|
|Bursa(Nilüfer/Nilüfer Bel./Balat Mah.)-11124|21167.0|
|Bursa(Nilüfer/Nilüfer Bel./Balkan Mah.)-11147|19594.0|
|Bursa(Nilüfer/Nilüfer Bel./Barış Mah.)-11133|13667.0|
|Bursa(Nilüfer/Nilüfer Bel./Başköy Mah.)-183435|304.0|
|Bursa(Nilüfer/Nilüfer Bel./Beşevler Mah.)-11135|23320.0|
|Bursa(Nilüfer/Nilüfer Bel./Büyükbalıklı Mah.)-11148|520.0|
|Bursa(Nilüfer/Nilüfer Bel./Çalı Mah.)-11138|18226.0|
|Bursa(Nilüfer/Nilüfer Bel./Çamlıca Mah.)-11117|17741.0|
|Bursa(Nilüfer/Nilüfer Bel./Çatalağıl Mah.)-183437|176.0|
|Bursa(Nilüfer/Nilüfer Bel./Çaylı Mah.)-183439|324.0|
|Bursa(Nilüfer/Nilüfer Bel./Cumhuriyet Mah.)-11131|16705.0|
|Bursa(Nilüfer/Nilüfer Bel./Dağyenice Mah.)-183441|415.0|
|Bursa(Nilüfer/Nilüfer Bel./Demirci Mah.)-11120|15415.0|
|Bursa(Nilüfer/Nilüfer Bel./Doğanköy Mah.)-183443|2182.0|
|Bursa(Nilüfer/Nilüfer Bel./Dumlupınar Mah.)-11143|28594.0|
|Bursa(Nilüfer/Nilüfer Bel./Ertuğrul Mah.)-11116|13058.0|
|Bursa(Nilüfer/Nilüfer Bel./Esentepe Mah.)-11130|13096.0|
|Bursa(Nilüfer/Nilüfer Bel./Fadıllı Mah.)-183445|411.0|
|Bursa(Nilüfer/Nilüfer Bel./Fethiye Mah.)-11126|21920.0|
|Bursa(Nilüfer/Nilüfer Bel./Gökçe Mah.)-11146|443.0|
|Bursa(Nilüfer/Nilüfer Bel./Gölyazı Mah.)-11141|1241.0|
|Bursa(Nilüfer/Nilüfer Bel./Görükle Mah.)-11142|32489.0|
|Bursa(Nilüfer/Nilüfer Bel./Gümüştepe Mah.)-11119|2552.0|
|Bursa(Nilüfer/Nilüfer Bel./Güngören Mah.)-183447|538.0|
|Bursa(Nilüfer/Nilüfer Bel./Hasanağa Mah.)-11150|1661.0|
|Bursa(Nilüfer/Nilüfer Bel./İhsaniye Mah.)-11128|28846.0|
|Bursa(Nilüfer/Nilüfer Bel./İnegazi Mah.)-183449|157.0|
|Bursa(Nilüfer/Nilüfer Bel./İrfaniye Mah.)-11145|1187.0|
|Bursa(Nilüfer/Nilüfer Bel./Işıktepe Mah.)-11129|3839.0|
|Bursa(Nilüfer/Nilüfer Bel./Kadriye Mah.)-183451|125.0|
|Bursa(Nilüfer/Nilüfer Bel./Karacaoba Mah.)-183453|322.0|
|Bursa(Nilüfer/Nilüfer Bel./Karaman Mah.)-11127|11484.0|
|Bursa(Nilüfer/Nilüfer Bel./Kayapa Mah.)-11153|3085.0|
|Bursa(Nilüfer/Nilüfer Bel./Kızılcıklı Mah.)-11151|10880.0|
|Bursa(Nilüfer/Nilüfer Bel./Konak Mah.)-11121|24807.0|
|Bursa(Nilüfer/Nilüfer Bel./Korubaşı Mah.)-183457|317.0|
|Bursa(Nilüfer/Nilüfer Bel./Kültür Mah.)-11118|13452.0|
|Bursa(Nilüfer/Nilüfer Bel./Kurtuluş Mah.)-11144|8609.0|
|Bursa(Nilüfer/Nilüfer Bel./Kuruçeşme Mah.)-183459|97.0|
|Bursa(Nilüfer/Nilüfer Bel./Makşempınarı Mah.)-183461|312.0|
|Bursa(Nilüfer/Nilüfer Bel./Minareliçavuş Mah.)-11125|5194.0|
|Bursa(Nilüfer/Nilüfer Bel./Odunluk Mah.)-11113|7362.0|
|Bursa(Nilüfer/Nilüfer Bel./Özlüce Mah.)-11115|4073.0|
|Bursa(Nilüfer/Nilüfer Bel./Tahtalı Mah.)-183463|1246.0|
|Bursa(Nilüfer/Nilüfer Bel./Üçevler Mah.)-11122|27559.0|
|Bursa(Nilüfer/Nilüfer Bel./Üçpınar Mah.)-183467|92.0|
|Bursa(Nilüfer/Nilüfer Bel./Unçukuru Mah.)-183465|299.0|
|Bursa(Nilüfer/Nilüfer Bel./Ürünlü Mah.)-11112|1338.0|
|Bursa(Nilüfer/Nilüfer Bel./Yaylacık Mah.)-183469|2039.0|
|Bursa(Nilüfer/Nilüfer Bel./Yolçatı Mah.)-183471|5593.0|
|Bursa(Nilüfer/Nilüfer Bel./Yüzüncüyıl Mah.)-99075|18806.0|
|||
