||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Ölçüm bazında|
|||
|||
2024|Bursa(Osmangazi/Osmangazi Bel./Adalet Mah.)-11155|5219.0|
|Bursa(Osmangazi/Osmangazi Bel./Ahmetbey Mah.)-183473|563.0|
|Bursa(Osmangazi/Osmangazi Bel./Ahmetpaşa Mah.)-11156|1802.0|
|Bursa(Osmangazi/Osmangazi Bel./Akpınar Mah.)-11157|10886.0|
|Bursa(Osmangazi/Osmangazi Bel./Aksungur Mah.)-183475|383.0|
|Bursa(Osmangazi/Osmangazi Bel./Aktarhüssam Mah.)-11158|1386.0|
|Bursa(Osmangazi/Osmangazi Bel./Alaaddin Mah.)-11159|2055.0|
|Bursa(Osmangazi/Osmangazi Bel./Alacahırka Mah.)-11160|3726.0|
|Bursa(Osmangazi/Osmangazi Bel./Alacamescit Mah.)-11161|290.0|
|Bursa(Osmangazi/Osmangazi Bel./Alaşarköy Mah.)-11162|1688.0|
|Bursa(Osmangazi/Osmangazi Bel./Alemdar Mah.)-11163|21846.0|
|Bursa(Osmangazi/Osmangazi Bel./Alipaşa Mah.)-11164|2248.0|
|Bursa(Osmangazi/Osmangazi Bel./Altınova Mah.)-11165|4821.0|
|Bursa(Osmangazi/Osmangazi Bel./Altıparmak Mah.)-11166|2050.0|
|Bursa(Osmangazi/Osmangazi Bel./Armutköy Mah.)-11167|593.0|
|Bursa(Osmangazi/Osmangazi Bel./Atıcılar Mah.)-11168|8888.0|
|Bursa(Osmangazi/Osmangazi Bel./Avdancık Mah.)-183477|457.0|
|Bursa(Osmangazi/Osmangazi Bel./Bağlarbaşı Mah.)-11169|35887.0|
|Bursa(Osmangazi/Osmangazi Bel./Bağlı Mah.)-183511|402.0|
|Bursa(Osmangazi/Osmangazi Bel./Bahar Mah.)-11170|5764.0|
|Bursa(Osmangazi/Osmangazi Bel./Başaran Mah.)-11171|15192.0|
|Bursa(Osmangazi/Osmangazi Bel./Büyükdeliller Mah.)-183513|349.0|
|Bursa(Osmangazi/Osmangazi Bel./Çağlayan Mah.)-183479|1187.0|
|Bursa(Osmangazi/Osmangazi Bel./Çaybaşı Mah.)-183515|454.0|
|Bursa(Osmangazi/Osmangazi Bel./Çekirge Mah.)-11172|11143.0|
|Bursa(Osmangazi/Osmangazi Bel./Çeltikköy Mah.)-11173|605.0|
|Bursa(Osmangazi/Osmangazi Bel./Çiftehavuzlar Mah.)-11175|18338.0|
|Bursa(Osmangazi/Osmangazi Bel./Çirişhane Mah.)-11176|9068.0|
|Bursa(Osmangazi/Osmangazi Bel./Çırpan Mah.)-11174|4908.0|
|Bursa(Osmangazi/Osmangazi Bel./Çukurcaköy Mah.)-11177|1811.0|
|Bursa(Osmangazi/Osmangazi Bel./Dağakça Mah.)-183481|539.0|
|Bursa(Osmangazi/Osmangazi Bel./Demirkapı Mah.)-11178|1575.0|
|Bursa(Osmangazi/Osmangazi Bel./Demirtaş Barbaros Mah.)-11250|23770.0|
|Bursa(Osmangazi/Osmangazi Bel./Demirtaş Cumhuriyet Mah.)-11251|47262.0|
|Bursa(Osmangazi/Osmangazi Bel./Demirtaş Dumlupınar Mah.)-11253|8940.0|
|Bursa(Osmangazi/Osmangazi Bel./Demirtaşpaşa Mah.)-11179|4024.0|
|Bursa(Osmangazi/Osmangazi Bel./Demirtaş Sakarya Mah.)-11252|16041.0|
|Bursa(Osmangazi/Osmangazi Bel./Dereçavuşköy Mah.)-11180|474.0|
|Bursa(Osmangazi/Osmangazi Bel./Dikkaldırım Mah.)-11247|18401.0|
|Bursa(Osmangazi/Osmangazi Bel./Doburca Mah.)-11181|760.0|
|Bursa(Osmangazi/Osmangazi Bel./Doğanbey Mah.)-11182|2609.0|
|Bursa(Osmangazi/Osmangazi Bel./Doğancı Mah.)-183483|389.0|
|Bursa(Osmangazi/Osmangazi Bel./Doğanevler Mah.)-11183|5147.0|
|Bursa(Osmangazi/Osmangazi Bel./Dürdane Mah.)-183485|1092.0|
|Bursa(Osmangazi/Osmangazi Bel./Ebu İshak Mah.)-11205|960.0|
|Bursa(Osmangazi/Osmangazi Bel./Elmaçukur Mah.)-183501|150.0|
|Bursa(Osmangazi/Osmangazi Bel./Elmasbahçeler Mah.)-11184|9467.0|
|Bursa(Osmangazi/Osmangazi Bel./Emek Adnan Menderes Mah.)-11255|33919.0|
|Bursa(Osmangazi/Osmangazi Bel./Emek Fatih Sultan Mehmet Mah.)-11256|24404.0|
|Bursa(Osmangazi/Osmangazi Bel./Emek Zekai Gümüşdiş Mah.)-11257|9937.0|
|Bursa(Osmangazi/Osmangazi Bel./Fatih Mah.)-11185|12865.0|
|Bursa(Osmangazi/Osmangazi Bel./Gaziakdemir Mah.)-11186|2844.0|
|Bursa(Osmangazi/Osmangazi Bel./Geçit Mah.)-11187|19195.0|
|Bursa(Osmangazi/Osmangazi Bel./Gökçeören Mah.)-183487|263.0|
|Bursa(Osmangazi/Osmangazi Bel./Gülbahçe Mah.)-11188|7575.0|
|Bursa(Osmangazi/Osmangazi Bel./Gündoğdu Mah.)-11248|1930.0|
|Bursa(Osmangazi/Osmangazi Bel./Güneştepe Mah.)-99902|29554.0|
|Bursa(Osmangazi/Osmangazi Bel./Güneybayır Mah.)-183517|228.0|
|Bursa(Osmangazi/Osmangazi Bel./Güneybudaklar Mah.)-183519|347.0|
|Bursa(Osmangazi/Osmangazi Bel./Hacı İlyas Mah.)-11189|2439.0|
|Bursa(Osmangazi/Osmangazi Bel./Hamitler Mah.)-11190|52062.0|
|Bursa(Osmangazi/Osmangazi Bel./Hamzabey Mah.)-11191|2661.0|
|Bursa(Osmangazi/Osmangazi Bel./Hocaalizade Mah.)-11228|1675.0|
|Bursa(Osmangazi/Osmangazi Bel./Hocahasan Mah.)-11192|4356.0|
|Bursa(Osmangazi/Osmangazi Bel./Hüdavendigar Mah.)-11193|22179.0|
|Bursa(Osmangazi/Osmangazi Bel./Hürriyet Mah.)-11194|4633.0|
|Bursa(Osmangazi/Osmangazi Bel./Hüseyinalan Mah.)-183489|116.0|
|Bursa(Osmangazi/Osmangazi Bel./İbrahimpaşa Mah.)-11195|2217.0|
|Bursa(Osmangazi/Osmangazi Bel./İnkaya Mah.)-11196|702.0|
|Bursa(Osmangazi/Osmangazi Bel./İntizam Mah.)-11197|3118.0|
|Bursa(Osmangazi/Osmangazi Bel./İsmetiye Mah.)-11198|1879.0|
|Bursa(Osmangazi/Osmangazi Bel./İstiklal Mah.)-11199|9588.0|
|Bursa(Osmangazi/Osmangazi Bel./İvazpaşa Mah.)-11200|2675.0|
|Bursa(Osmangazi/Osmangazi Bel./Karabalçık Mah.)-183491|822.0|
|Bursa(Osmangazi/Osmangazi Bel./Karaislah Mah.)-183521|198.0|
|Bursa(Osmangazi/Osmangazi Bel./Kavaklı Mah.)-11201|1084.0|
|Bursa(Osmangazi/Osmangazi Bel./Kayıhan Mah.)-11202|1214.0|
|Bursa(Osmangazi/Osmangazi Bel./Kemerçeşme Mah.)-11203|5319.0|
|Bursa(Osmangazi/Osmangazi Bel./Kirazlı Mah.)-11258|1049.0|
|Bursa(Osmangazi/Osmangazi Bel./Kırcaali Mah.)-11204|1382.0|
|Bursa(Osmangazi/Osmangazi Bel./Kiremitçi Mah.)-11206|3037.0|
|Bursa(Osmangazi/Osmangazi Bel./Kocanaip Mah.)-11207|1662.0|
|Bursa(Osmangazi/Osmangazi Bel./Koğukçınar Mah.)-11208|5891.0|
|Bursa(Osmangazi/Osmangazi Bel./Küçükbalıklı Mah.)-11210|20641.0|
|Bursa(Osmangazi/Osmangazi Bel./Küçükdeliller Mah.)-183523|382.0|
|Bursa(Osmangazi/Osmangazi Bel./Kükürtlü Mah.)-11211|11217.0|
|Bursa(Osmangazi/Osmangazi Bel./Küplüpınar Mah.)-11212|10366.0|
