||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Ölçüm bazında|
|||
|||
2024|Bursa(Yıldırım/Yıldırım Bel./152evler Mah.)-11274|8775.0|
|Bursa(Yıldırım/Yıldırım Bel./75.Yıl Mah.)-11324|10815.0|
|Bursa(Yıldırım/Yıldırım Bel./Akçağlayan Mah.)-11329|15912.0|
|Bursa(Yıldırım/Yıldırım Bel./Anadolu Mah.)-11297|1966.0|
|Bursa(Yıldırım/Yıldırım Bel./Arabayatağı Mah.)-11318|21622.0|
|Bursa(Yıldırım/Yıldırım Bel./Bağlaraltı Mah.)-11265|18045.0|
|Bursa(Yıldırım/Yıldırım Bel./Balaban Mah.)-183533|265.0|
|Bursa(Yıldırım/Yıldırım Bel./Baruthane Mah.)-11276|7916.0|
|Bursa(Yıldırım/Yıldırım Bel./Beyazıt Mah.)-11275|7164.0|
|Bursa(Yıldırım/Yıldırım Bel./Çelebi Mehmet Mah.)-749697|8376.0|
|Bursa(Yıldırım/Yıldırım Bel./Çınarönü Mah.)-11317|14421.0|
|Bursa(Yıldırım/Yıldırım Bel./Cumalıkızık Mah.)-183529|699.0|
|Bursa(Yıldırım/Yıldırım Bel./Davutdede Mah.)-11277|6470.0|
|Bursa(Yıldırım/Yıldırım Bel./Davutkadı Mah.)-11322|6732.0|
|Bursa(Yıldırım/Yıldırım Bel./Değirmenlikızık Mah.)-11315|16721.0|
|Bursa(Yıldırım/Yıldırım Bel./Değirmenönü Mah.)-11286|26421.0|
|Bursa(Yıldırım/Yıldırım Bel./Demetevler Mah.)-11281|10022.0|
|Bursa(Yıldırım/Yıldırım Bel./Duaçınarı Mah.)-11289|2710.0|
|Bursa(Yıldırım/Yıldırım Bel./Eğitim Mah.)-11273|11176.0|
|Bursa(Yıldırım/Yıldırım Bel./Emirsultan Mah.)-11271|5766.0|
|Bursa(Yıldırım/Yıldırım Bel./Erikli Mah.)-11264|11898.0|
|Bursa(Yıldırım/Yıldırım Bel./Ertuğrulgazi Mah.)-11314|9028.0|
|Bursa(Yıldırım/Yıldırım Bel./Esenevler Mah.)-11288|17361.0|
|Bursa(Yıldırım/Yıldırım Bel./Fidyekızık Mah.)-11311|5097.0|
|Bursa(Yıldırım/Yıldırım Bel./Güllük Mah.)-11267|9609.0|
|Bursa(Yıldırım/Yıldırım Bel./Hacıseyfettin Mah.)-11303|7121.0|
|Bursa(Yıldırım/Yıldırım Bel./Hacivat Mah.)-11316|16220.0|
|Bursa(Yıldırım/Yıldırım Bel./Hamamlıkızık Mah.)-183527|694.0|
|Bursa(Yıldırım/Yıldırım Bel./Hocataşkın Mah.)-11306|1221.0|
|Bursa(Yıldırım/Yıldırım Bel./İsabey Mah.)-11280|7096.0|
|Bursa(Yıldırım/Yıldırım Bel./Kaplıkaya Mah.)-11313|3678.0|
|Bursa(Yıldırım/Yıldırım Bel./Karaağaç Mah.)-11294|6398.0|
|Bursa(Yıldırım/Yıldırım Bel./Karamazak Mah.)-11293|3768.0|
|Bursa(Yıldırım/Yıldırım Bel./Karapınar Mah.)-11285|14701.0|
|Bursa(Yıldırım/Yıldırım Bel./Kazım Karabekir Mah.)-11298|9474.0|
|Bursa(Yıldırım/Yıldırım Bel./Kurtoğlu Mah.)-11292|3313.0|
|Bursa(Yıldırım/Yıldırım Bel./Maltepe Mah.)-11328|6579.0|
|Bursa(Yıldırım/Yıldırım Bel./Mehmetakifersoy Mah.)-11304|6675.0|
|Bursa(Yıldırım/Yıldırım Bel./Mevlana Mah.)-11300|10357.0|
|Bursa(Yıldırım/Yıldırım Bel./Meydancık Mah.)-11320|2095.0|
|Bursa(Yıldırım/Yıldırım Bel./Millet Mah.)-11283|38999.0|
|Bursa(Yıldırım/Yıldırım Bel./Mimarsinan Mah.)-11266|11893.0|
|Bursa(Yıldırım/Yıldırım Bel./Mollaarap Mah.)-11295|8280.0|
|Bursa(Yıldırım/Yıldırım Bel./Musababa Mah.)-11307|3137.0|
|Bursa(Yıldırım/Yıldırım Bel./Namazgah Mah.)-11325|4070.0|
|Bursa(Yıldırım/Yıldırım Bel./Ortabağlar Mah.)-11268|15172.0|
|Bursa(Yıldırım/Yıldırım Bel./Piremir Mah.)-11310|12580.0|
|Bursa(Yıldırım/Yıldırım Bel./Sakarya Mah.)-749242|10534.0|
|Bursa(Yıldırım/Yıldırım Bel./Samanlı Mah.)-11282|9221.0|
|Bursa(Yıldırım/Yıldırım Bel./Selçukbey Mah.)-11272|11185.0|
|Bursa(Yıldırım/Yıldırım Bel./Selimzade Mah.)-11321|3476.0|
|Bursa(Yıldırım/Yıldırım Bel./Sinandede Mah.)-11302|6346.0|
|Bursa(Yıldırım/Yıldırım Bel./Sıracevizler Mah.)-11269|6500.0|
|Bursa(Yıldırım/Yıldırım Bel./Şirinevler Mah.)-11284|23944.0|
|Bursa(Yıldırım/Yıldırım Bel./Siteler Mah.)-11312|5025.0|
|Bursa(Yıldırım/Yıldırım Bel./Şükraniye Mah.)-11301|8559.0|
|Bursa(Yıldırım/Yıldırım Bel./Teferrüç Mah.)-11309|5558.0|
|Bursa(Yıldırım/Yıldırım Bel./Ulus Mah.)-11319|17435.0|
|Bursa(Yıldırım/Yıldırım Bel./Umurbey Mah.)-11308|5545.0|
|Bursa(Yıldırım/Yıldırım Bel./Vakıf Mah.)-11279|10317.0|
|Bursa(Yıldırım/Yıldırım Bel./Vatan Mah.)-11296|8484.0|
|Bursa(Yıldırım/Yıldırım Bel./Yavuzselım Mah.)-11299|14300.0|
|Bursa(Yıldırım/Yıldırım Bel./Yediselviler Mah.)-11278|4278.0|
|Bursa(Yıldırım/Yıldırım Bel./Yenımahalle Mah.)-11326|3973.0|
|Bursa(Yıldırım/Yıldırım Bel./Yeşil Mah.)-11291|2596.0|
|Bursa(Yıldırım/Yıldırım Bel./Yeşilyayla Mah.)-11270|6440.0|
|Bursa(Yıldırım/Yıldırım Bel./Yiğitler Mah.)-11287|11833.0|
|Bursa(Yıldırım/Yıldırım Bel./Yıldırım Mah.)-11305|6575.0|
|Bursa(Yıldırım/Yıldırım Bel./Yunusemre Mah.)-11290|11107.0|
|Bursa(Yıldırım/Yıldırım Bel./Zeyniler Mah.)-183531|216.0|
|Bursa(Yıldırım/Yıldırım Bel./Zümrütevler Mah.)-11327|13043.0|
|||
