district_name,hood_name,population
Nilüfer,23 Nisan Mah.,21042
Nilüfer,29 Ekim Mah.,14587
Nilüfer,30 Ağustos Zafer Mah.,15605
Nilüfer,Ahmet Yesevi Mah.,9021
Nilüfer,Akçalar Mah.,10581
Nilüfer,Alaaddinbey Mah.,965
Nilüfer,Altınşehir Mah.,18830
Nilüfer,Ataevler Mah.,17793
Nilüfer,Atlas Mah.,372
Nilüfer,Ayvaköy Mah.,178
Nilüfer,Badırga Mah.,344
Nilüfer,Balat Mah.,21167
Nilüfer,Balkan Mah.,19594
Nilüfer,Barış Mah.,13667
Nilüfer,Başköy Mah.,304
Nilüfer,Beşevler Mah.,23320
Nilüfer,Büyükbalıklı Mah.,520
Nilüfer,Çalı Mah.,18226
Nilüfer,Çamlıca Mah.,17741
Nilüfer,Çatalağıl Mah.,176
Nilüfer,Çaylı Mah.,324
Nilüfer,Cumhuriyet Mah.,16705
Nilüfer,Dağyenice Mah.,415
Nilüfer,Demirci Mah.,15415
Nilüfer,Doğanköy Mah.,2182
Nilüfer,Dumlupınar Mah.,28594
Nilüfer,Ertuğrul Mah.,13058
Nilüfer,Esentepe Mah.,13096
Nilüfer,Fadıllı Mah.,411
Nilüfer,Fethiye Mah.,21920
Nilüfer,Gökçe Mah.,443
Nilüfer,Gölyazı Mah.,1241
Nilüfer,Görükle Mah.,32489
Nilüfer,Gümüştepe Mah.,2552
Nilüfer,Güngören Mah.,538
Nilüfer,Hasanağa Mah.,1661
Nilüfer,İhsaniye Mah.,28846
Nilüfer,İnegazi Mah.,157
Nilüfer,İrfaniye Mah.,1187
Nilüfer,Işıktepe Mah.,3839
Nilüfer,Kadriye Mah.,125
Nilüfer,Karacaoba Mah.,322
Nilüfer,Karaman Mah.,11484
Nilüfer,Kayapa Mah.,3085
Nilüfer,Kızılcıklı Mah.,10880
Nilüfer,Konak Mah.,24807
Nilüfer,Korubaşı Mah.,317
Nilüfer,Kültür Mah.,13452
Nilüfer,Kurtuluş Mah.,8609
Nilüfer,Kuruçeşme Mah.,97
Nilüfer,Makşempınarı Mah.,312
Nilüfer,Minareliçavuş Mah.,5194
Nilüfer,Odunluk Mah.,7362
Nilüfer,Özlüce Mah.,4073
Nilüfer,Tahtalı Mah.,1246
Nilüfer,Üçevler Mah.,27559
Nilüfer,Üçpınar Mah.,92
Nilüfer,Unçukuru Mah.,299
Nilüfer,Ürünlü Mah.,1338
Nilüfer,Yaylacık Mah.,2039
Nilüfer,Yolçatı Mah.,5593
Nilüfer,Yüzüncüyıl Mah.,18806
