district_name,hood_name,population
Osmangazi,Ahmetbey Mah.,563
Osmangazi,Ahmetpaşa Mah.,1802
Osmangazi,Akpınar Mah.,10886
Osmangazi,Aksungur Mah.,383
Osmangazi,Aktarhüssam Mah.,1386
Osmangazi,Alaaddin Mah.,2055
Osmangazi,Alacahırka Mah.,3726
Osmangazi,Alacamescit Mah.,290
Osmangazi,Alaşarköy Mah.,1688
Osmangazi,Alemdar Mah.,21846
Osmangazi,Alipaşa Mah.,2248
Osmangazi,Altınova Mah.,4821
Osmangazi,Altıparmak Mah.,2050
Osmangazi,Armutköy Mah.,593
Osmangazi,Atıcılar Mah.,8888
Osmangazi,Avdancık Mah.,457
Osmangazi,Bağlarbaşı Mah.,35887
Osmangazi,Bağlı Mah.,402
Osmangazi,Bahar Mah.,5764
Osmangazi,Başaran Mah.,15192
Osmangazi,Büyükdeliller Mah.,349
Osmangazi,Çağlayan Mah.,1187
Osmangazi,Çaybaşı Mah.,454
Osmangazi,Çekirge Mah.,11143
Osmangazi,Çeltikköy Mah.,605
Osmangazi,Çiftehavuzlar Mah.,18338
Osmangazi,Çirişhane Mah.,9068
Osmangazi,Çırpan Mah.,4908
Osmangazi,Çukurcaköy Mah.,1811
Osmangazi,Dağakça Mah.,539
Osmangazi,Demirkapı Mah.,1575
Osmangazi,Demirtaş Barbaros Mah.,23770
Osmangazi,Demirtaş Cumhuriyet Mah.,47262
Osmangazi,Demirtaş Dumlupınar Mah.,8940
Osmangazi,Demirtaşpaşa Mah.,4024
Osmangazi,Demirtaş Sakarya Mah.,16041
Osmangazi,Dereçavuşköy Mah.,474
Osmangazi,Dikkaldırım Mah.,18401
Osmangazi,Doburca Mah.,760
Osmangazi,Doğanbey Mah.,2609
Osmangazi,Doğancı Mah.,389
Osmangazi,Doğanevler Mah.,5147
Osmangazi,Dürdane Mah.,1092
Osmangazi,Ebu İshak Mah.,960
Osmangazi,Elmaçukur Mah.,150
Osmangazi,Elmasbahçeler Mah.,9467
Osmangazi,Emek Adnan Menderes Mah.,33919
Osmangazi,Emek Fatih Sultan Mehmet Mah.,24404
Osmangazi,Emek Zekai Gümüşdiş Mah.,9937
Osmangazi,Fatih Mah.,12865
Osmangazi,Gaziakdemir Mah.,2844
Osmangazi,Geçit Mah.,19195
Osmangazi,Gökçeören Mah.,263
Osmangazi,Gülbahçe Mah.,7575
Osmangazi,Gündoğdu Mah.,1930
Osmangazi,Güneştepe Mah.,29554
Osmangazi,Güneybayır Mah.,228
Osmangazi,Güneybudaklar Mah.,347
Osmangazi,Hacı İlyas Mah.,2439
Osmangazi,Hamitler Mah.,52062
Osmangazi,Hamzabey Mah.,2661
Osmangazi,Hocaalizade Mah.,1675
Osmangazi,Hocahasan Mah.,4356
Osmangazi,Hüdavendigar Mah.,22179
Osmangazi,Hürriyet Mah.,4633
Osmangazi,Hüseyinalan Mah.,116
Osmangazi,İbrahimpaşa Mah.,2217
Osmangazi,İnkaya Mah.,702
Osmangazi,İntizam Mah.,3118
Osmangazi,İsmetiye Mah.,1879
Osmangazi,İstiklal Mah.,9588
Osmangazi,İvazpaşa Mah.,2675
Osmangazi,Karabalçık Mah.,822
Osmangazi,Karaislah Mah.,198
Osmangazi,Kavaklı Mah.,1084
Osmangazi,Kayıhan Mah.,1214
