district_name,hood_name,population
Yildirim,75.Yıl Mah.,10815
Yildirim,Akçağlayan Mah.,15912
Yildirim,Anadolu Mah.,1966
Yildirim,Arabayatağı Mah.,21622
Yildirim,Bağlaraltı Mah.,18045
Yildirim,Balaban Mah.,265
Yildirim,Baruthane Mah.,7916
Yildirim,Beyazıt Mah.,7164
Yildirim,Çelebi Mehmet Mah.,8376
Yildirim,Çınarönü Mah.,14421
Yildirim,Cumalıkızık Mah.,699
Yildirim,Davutdede Mah.,6470
Yildirim,Davutkadı Mah.,6732
Yildirim,Değirmenlikızık Mah.,16721
Yildirim,Değirmenönü Mah.,26421
Yildirim,Demetevler Mah.,10022
Yildirim,Duaçınarı Mah.,2710
Yildirim,Eğitim Mah.,11176
Yildirim,Emirsultan Mah.,5766
Yildirim,Erikli Mah.,11898
Yildirim,Ertuğrulgazi Mah.,9028
Yildirim,Esenevler Mah.,17361
Yildirim,Fidyekızık Mah.,5097
Yildirim,Güllük Mah.,9609
Yildirim,Hacıseyfettin Mah.,7121
Yildirim,Hacivat Mah.,16220
Yildirim,Hamamlıkızık Mah.,694
Yildirim,Hocataşkın Mah.,1221
Yildirim,İsabey Mah.,7096
Yildirim,Kaplıkaya Mah.,3678
Yildirim,Karaağaç Mah.,6398
Yildirim,Karamazak Mah.,3768
Yildirim,Karapınar Mah.,14701
Yildirim,Kazım Karabekir Mah.,9474
Yildirim,Kurtoğlu Mah.,3313
Yildirim,Maltepe Mah.,6579
Yildirim,Mehmetakifersoy Mah.,6675
Yildirim,Mevlana Mah.,10357
Yildirim,Meydancık Mah.,2095
Yildirim,Millet Mah.,38999
Yildirim,Mimarsinan Mah.,11893
Yildirim,Mollaarap Mah.,8280
Yildirim,Musababa Mah.,3137
Yildirim,Namazgah Mah.,4070
Yildirim,Ortabağlar Mah.,15172
Yildirim,Piremir Mah.,12580
Yildirim,Sakarya Mah.,10534
Yildirim,Samanlı Mah.,9221
Yildirim,Selçukbey Mah.,11185
Yildirim,Selimzade Mah.,3476
Yildirim,Sinandede Mah.,6346
Yildirim,Sıracevizler Mah.,6500
Yildirim,Şirinevler Mah.,23944
Yildirim,Siteler Mah.,5025
Yildirim,Şükraniye Mah.,8559
Yildirim,Teferrüç Mah.,5558
Yildirim,Ulus Mah.,17435
Yildirim,Umurbey Mah.,5545
Yildirim,Vakıf Mah.,10317
Yildirim,Vatan Mah.,8484
Yildirim,Yavuzselım Mah.,14300
Yildirim,Yediselviler Mah.,4278
Yildirim,Yenımahalle Mah.,3973
Yildirim,Yeşil Mah.,2596
Yildirim,Yeşilyayla Mah.,6440
Yildirim,Yiğitler Mah.,11833
Yildirim,Yıldırım Mah.,6575
Yildirim,Yunusemre Mah.,11107
Yildirim,Zeyniler Mah.,216
Yildirim,Zümrütevler Mah.,13043
