district_name,hood_name,population
Yıldırım,75.Yıl Mah.,10815
Yıldırım,Akçağlayan Mah.,15912
Yıldırım,Anadolu Mah.,1966
Yıldırım,Arabayatağı Mah.,21622
Yıldırım,Bağlaraltı Mah.,18045
Yıldırım,Balaban Mah.,265
Yıldırım,Baruthane Mah.,7916
Yıldırım,Beyazıt Mah.,7164
Yıldırım,Çelebi Mehmet Mah.,8376
Yıldırım,Çınarönü Mah.,14421
Yıldırım,Cumalıkızık Mah.,699
Yıldırım,Davutdede Mah.,6470
Yıldırım,Davutkadı Mah.,6732
Yıldırım,Değirmenlikızık Mah.,16721
Yıldırım,Değirmenönü Mah.,26421
Yıldırım,Demetevler Mah.,10022
Yıldırım,Duaçınarı Mah.,2710
Yıldırım,Eğitim Mah.,11176
Yıldırım,Emirsultan Mah.,5766
Yıldırım,Erikli Mah.,11898
Yıldırım,Ertuğrulgazi Mah.,9028
Yıldırım,Esenevler Mah.,17361
Yıldırım,Fidyekızık Mah.,5097
Yıldırım,Güllük Mah.,9609
Yıldırım,Hacıseyfettin Mah.,7121
Yıldırım,Hacivat Mah.,16220
Yıldırım,Hamamlıkızık Mah.,694
Yıldırım,Hocataşkın Mah.,1221
Yıldırım,İsabey Mah.,7096
Yıldırım,Kaplıkaya Mah.,3678
Yıldırım,Karaağaç Mah.,6398
Yıldırım,Karamazak Mah.,3768
Yıldırım,Karapınar Mah.,14701
Yıldırım,Kazım Karabekir Mah.,9474
Yıldırım,Kurtoğlu Mah.,3313
Yıldırım,Maltepe Mah.,6579
Yıldırım,Mehmetakifersoy Mah.,6675
Yıldırım,Mevlana Mah.,10357
Yıldırım,Meydancık Mah.,2095
Yıldırım,Millet Mah.,38999
Yıldırım,Mimarsinan Mah.,11893
Yıldırım,Mollaarap Mah.,8280
Yıldırım,Musababa Mah.,3137
Yıldırım,Namazgah Mah.,4070
Yıldırım,Ortabağlar Mah.,15172
Yıldırım,Piremir Mah.,12580
Yıldırım,Sakarya Mah.,10534
Yıldırım,Samanlı Mah.,9221
Yıldırım,Selçukbey Mah.,11185
Yıldırım,Selimzade Mah.,3476
Yıldırım,Sinandede Mah.,6346
Yıldırım,Sıracevizler Mah.,6500
Yıldırım,Şirinevler Mah.,23944
Yıldırım,Siteler Mah.,5025
Yıldırım,Şükraniye Mah.,8559
Yıldırım,Teferrüç Mah.,5558
Yıldırım,Ulus Mah.,17435
Yıldırım,Umurbey Mah.,5545
Yıldırım,Vakıf Mah.,10317
Yıldırım,Vatan Mah.,8484
Yıldırım,Yavuzselım Mah.,14300
Yıldırım,Yediselviler Mah.,4278
Yıldırım,Yenımahalle Mah.,3973
Yıldırım,Yeşil Mah.,2596
Yıldırım,Yeşilyayla Mah.,6440
Yıldırım,Yiğitler Mah.,11833
Yıldırım,Yıldırım Mah.,6575
Yıldırım,Yunusemre Mah.,11107
Yıldırım,Zeyniler Mah.,216
Yıldırım,Zümrütevler Mah.,13043
