district_name,hood_name,population,sip_count,sip_per_capita
Osmangazi,Ahmetbey Mahellesi,563,0,0.0000
Yıldırım,Sakarya Mahallesi,10534,0,0.0000
Osmangazi,Gülbahçe Mahallesi,7575,0,0.0000
Osmangazi,Küplüpınar Mahellesi,10366,0,0.0000
Osmangazi,Alaşarköy Mahallesi,1688,0,0.0000
Osmangazi,Kemerçeşme Mahallesi,5319,0,0.0000
Osmangazi,Başaran Mahallesi,15192,0,0.0000
Yıldırım,Karapınar Mahallesi,14701,0,0.0000
Osmangazi,Yeşilova Mahallesi,12179,0,0.0000
Nilüfer,Tahtalı Mahallesi,1246,0,0.0000
Yıldırım,Ulus Mahallesi,17435,0,0.0000
Osmangazi,Demirtaş Barbaros Mahallesi,23770,0,0.0000
Osmangazi,Gündoğdu Mahallesi,1930,0,0.0000
Osmangazi,Karabalçık Mahallesi,822,0,0.0000
Osmangazi,Namık Kemal Mahallesi,7615,0,0.0000
Osmangazi,Selçukgazi Mahallesi,760,0,0.0000
Osmangazi,Zafer Mahallesi,3873,0,0.0000
Osmangazi,Aksungur Mahallesi,383,0,0.0000
Osmangazi,Ovaakça Merkez,4053,0,0.0000
Nilüfer,Minareliçavuş Mahallesi,5194,0,0.0000
Osmangazi,İsmetiye Mahallesi,1879,0,0.0000
Osmangazi,Nilüferköy Mahallesi,3604,0,0.0000
Osmangazi,Mehmet Akif Mahallesi,7433,0,0.0000
Osmangazi,Armutköy Mahallesi,593,0,0.0000
Osmangazi,Çeltikköy Mahallesi,605,0,0.0000
Osmangazi,Çağlayan Mahallesi,1187,0,0.0000
Osmangazi,Soğanlı Mahallasi,25671,0,0.0000
Osmangazi,Dereçavuşköy Mahallesi,474,0,0.0000
Osmangazi,Çukurcaköy Mahallesi,1811,0,0.0000
Yıldırım,Kaplıkaya Mahallesi,3678,0,0.0000
Osmangazi,Yenikent Mahallesi,6736,0,0.0000
Yıldırım,Çelebi Mehmet Mahallesi,8376,0,0.0000
Osmangazi,Alemdar Mahallesi,21846,0,0.0000
Osmangazi,Altınova Mahallesi,4821,0,0.0000
Osmangazi,Tuna Mahallesi,5724,0,0.0000
Osmangazi,Demirtaş Cumhuriyet Mahallesi,47262,0,0.0000
Nilüfer,Işıktepe Mahallesi,3839,0,0.0000
Yıldırım,Vakıf Mahallesi,10317,0,0.0000
Osmangazi,Doğanevler Mahallesi,5147,0,0.0000
Osmangazi,Panayır Mahallesi,24074,0,0.0000
Osmangazi,Koğukçınar Mahallesi,5891,0,0.0000
Yıldırım,Mevlana Mahallesi,10357,0,0.0000
Osmangazi,Bahar Mahallesi,5764,0,0.0000
Nilüfer,Doğanköy Mahallesi,2182,0,0.0000
Yıldırım,Demetevler Mahallesi,10022,0,0.0000
Yıldırım,Zeyniler Mahallesi,216,0,0.0000
Yıldırım,Anadolu Mahallesi,1966,0,0.0000
Yıldırım,Balaban Mahallesi,265,0,0.0000
Osmangazi,Veysel Karani Mahallesi,1928,0,0.0000
Yıldırım,Samanlı Mahallesi,9221,0,0.0000
Osmangazi,Çirişhane Mahallesi,9068,0,0.0000
Osmangazi,Yeniceabat Mahallesi,1663,0,0.0000
Yıldırım,İsabey Mahallesi,7096,0,0.0000
Nilüfer,Yayalacık Mahallesi,2039,0,0.0000
Osmangazi,Yiğitali Mahallesi,542,0,0.0000
Osmangazi,Demirtaş Dumlupınar Mahallesi,8940,0,0.0000
Osmangazi,Fatih Mahallesi,12865,0,0.0000
Nilüfer,Ürünlü Mahallesi,1338,0,0.0000
Yıldırım,Arabayatağı Mahallesi,21622,0,0.0000
Yıldırım,Kazım Karabekir Mahallesi,9474,0,0.0000
Yıldırım,Duaçınarı Mahallesi,2710,0,0.0000
Yıldırım,Vatan Mahallesi,8484,0,0.0000
Yıldırım,Millet Mahallesi,38999,0,0.0000
Yıldırım,Şirinevler Mahallesi,23944,0,0.0000
Yıldırım,Yunus Emre Mahallesi,11107,0,0.0000
Osmangazi,Sırameşeler Mahallesi,12478,0,0.0000
Osmangazi,Demirtaş Sakarya Mahallesi,16041,0,0.0000
Osmangazi,Ovaakça Çeşmebaşı Mahallesi,2849,0,0.0000
Yıldırım,Hamamlıkızık Mahallesi,694,0,0.0000
Osmangazi,Çiftehavuzlar Mahallesi,18338,0,0.0000
Osmangazi,Atıcılar Mahallesi,8888,0,0.0000
Yıldırım,Değirmenönü Mahallesi,26421,0,0.0000
Yıldırım,Çınarönü Mahallesi,14421,0,0.0000
Osmangazi,Avdancık Mahallesi,457,0,0.0000
Osmangazi,Ovaakça Eğitim,1535,0,0.0000
Yıldırım,Yiğitler Mahallesi,11833,0,0.0000
Yıldırım,Hacivat Mahallesi,16220,0,0.0000
Osmangazi,Dürdane Mahallesi,1092,0,0.0000
Yıldırım,Cumalıkızık Mahallesi,699,0,0.0000
Osmangazi,Elmaçukur Mahallesi,150,0,0.0000
